Design_ID,Design_Complexity,Lines_of_Code,Num_Modules,Target_Power_mW,Target_Frequency_MHz,Design_Tool_Used,EDA_Runtime_min,Simulation_Bugs_Found,Meets_Timing,Estimated_Power_Usage_mW
DGN_10000,Medium,51940,19,172.13,481.06,Cadence,810.46,0,1,160.13294101780014
DGN_10001,Low,82947,46,225.37,594.8,OpenROAD,1106.09,2,0,239.5623931231739
DGN_10002,High,90001,28,296.6,2480.7,Synopsys,1139.12,3,1,298.59271086187823
DGN_10003,High,24642,30,160.38,1907.41,OpenROAD,251.29,2,0,157.71226248182376
DGN_10004,Medium,72643,30,179.55,2408.73,Synopsys,358.47,2,0,204.89391350560425
DGN_10005,Medium,12928,30,180.45,810.04,OpenROAD,985.26,5,1,191.8798087934721
DGN_10006,High,53002,14,184.86,494.95,Mentor,650.84,2,1,190.67461211261988
DGN_10007,Medium,89853,21,179.44,1307.36,Cadence,576.46,2,1,178.82012109074745
DGN_10008,Medium,30017,18,52.19,1287.2,Mentor,870.11,2,0,82.95219122902937
DGN_10009,High,84064,6,50.43,519.87,Mentor,746.19,3,0,52.92281380973503
DGN_10010,Low,18313,17,74.42,1859.73,Mentor,1166.61,2,1,87.28133222642269
DGN_10011,Medium,6559,31,75.39,968.27,OpenROAD,725.73,2,1,86.76322605207129
DGN_10012,Low,55893,13,226.22,547.28,Mentor,591.21,4,1,226.83049248306943
DGN_10013,Medium,20167,11,101.23,896.76,Cadence,678.81,2,1,119.64720928897808
DGN_10014,Medium,85879,14,273.68,1452.78,Cadence,981.74,1,1,253.98797754331056
DGN_10015,Medium,43598,13,282.15,1843.53,Synopsys,758.45,3,1,255.06618394005997
DGN_10016,Low,12523,26,293.97,1256.54,OpenROAD,797.63,1,1,292.17284840990357
DGN_10017,Low,54777,27,284.77,1361.43,Cadence,1167.44,2,1,279.11792454194773
DGN_10018,Medium,33439,11,117.97,433.47,Cadence,764.97,1,0,114.96927283934723
DGN_10019,Medium,86060,13,177.44,2295.26,OpenROAD,493.53,2,1,181.85966986966218
DGN_10020,Medium,18285,31,93.86,2328.94,Mentor,848.11,1,1,100.78258594345473
DGN_10021,Low,15973,28,251.55,1740.22,Cadence,811.78,3,1,248.27479104653256
DGN_10022,High,27694,33,272.11,142.32,Mentor,75.79,2,1,301.64778336956977
DGN_10023,Low,40774,21,262.82,1388.98,Cadence,592.76,2,0,273.11661261321706
DGN_10024,High,9302,24,158.34,1610.13,Synopsys,906.91,2,0,179.43268751350539
DGN_10025,Low,27391,11,239.67,2487.17,Mentor,628.91,1,0,229.85175749316159
DGN_10026,Medium,9611,47,74.39,2490.56,Cadence,948.77,3,1,63.58587351190317
DGN_10027,Low,14372,44,60.06,2158.27,OpenROAD,574.01,2,1,67.28947694117579
DGN_10028,High,29312,11,238.31,253.19,OpenROAD,1180.99,2,0,234.06019029958838
DGN_10029,Medium,19080,32,156.34,2387.86,OpenROAD,393.9,2,0,171.5278060656575
DGN_10030,Low,85618,23,298.89,1570.39,Cadence,165.02,0,0,297.9933888961199
DGN_10031,Medium,25874,24,74.31,2022.13,Mentor,550.21,2,0,57.06313834295177
DGN_10032,Low,67537,48,263.91,1077.26,Synopsys,677.55,3,1,264.23336492251684
DGN_10033,Low,78914,43,170.0,867.21,Synopsys,457.97,2,0,173.09046949984338
DGN_10034,High,6597,44,256.79,1211.79,Cadence,336.2,4,1,251.13946633549762
DGN_10035,Medium,16600,11,254.28,452.5,Cadence,826.15,2,1,234.54830290562595
DGN_10036,Medium,8747,10,279.0,956.96,Cadence,489.92,2,0,303.96389915327006
DGN_10037,Medium,84415,29,124.46,2158.28,Mentor,779.76,4,1,137.72363054139862
DGN_10038,Medium,83553,45,287.45,191.08,OpenROAD,948.14,1,1,269.83664361929334
DGN_10039,Low,29815,17,87.92,462.11,Mentor,927.54,2,0,82.42333546460796
DGN_10040,Low,89500,43,70.49,400.28,Mentor,487.85,1,1,58.8603997354655
DGN_10041,Medium,99348,44,157.9,1067.38,Cadence,707.4,2,0,176.19012262362116
DGN_10042,High,29714,26,257.08,2492.77,Synopsys,572.61,3,0,279.65909480097577
DGN_10043,Low,23890,21,168.36,516.06,Mentor,1052.72,2,0,157.405322196894
DGN_10044,Low,66509,26,257.32,449.16,Synopsys,1061.78,2,1,245.7257627750208
DGN_10045,Medium,66824,38,232.42,2296.13,Cadence,451.87,2,1,255.00584673995291
DGN_10046,High,9725,12,102.36,2216.92,Mentor,164.58,2,1,114.53648773699521
DGN_10047,Low,48205,49,287.22,177.38,OpenROAD,251.04,2,1,272.01055367363284
DGN_10048,Medium,25684,22,65.2,1904.09,OpenROAD,478.38,0,0,84.8518348929328
DGN_10049,High,96861,28,274.57,1673.12,Mentor,703.24,4,1,260.199673382104
DGN_10050,Low,62911,46,126.11,1942.58,OpenROAD,808.74,0,1,108.46324184179937
DGN_10051,Low,18092,6,175.04,1286.81,Mentor,437.76,2,1,159.9353473134439
DGN_10052,Medium,44770,6,155.59,2479.31,OpenROAD,820.95,1,1,164.83637740591763
DGN_10053,High,30457,31,92.96,205.23,Cadence,1129.02,0,1,71.88397000895515
DGN_10054,Low,76667,18,139.54,662.49,OpenROAD,803.3,1,1,142.22338599754198
DGN_10055,Medium,95751,43,98.23,1051.71,OpenROAD,240.76,3,1,145.51356402950356
DGN_10056,Medium,67894,16,100.97,1179.47,Cadence,720.82,1,0,81.10502596876752
DGN_10057,Medium,66305,36,96.76,2311.28,Cadence,677.76,1,0,121.77303301641012
DGN_10058,Medium,17612,32,172.25,1444.01,OpenROAD,1052.6,4,0,156.96829205204574
DGN_10059,Medium,83627,32,249.48,208.27,Synopsys,459.35,1,0,252.02997868964854
DGN_10060,Medium,42089,29,192.24,1078.87,Synopsys,542.16,3,1,184.1107155613426
DGN_10061,Medium,57137,8,273.3,1099.58,Mentor,742.47,3,0,287.61395546670377
DGN_10062,Medium,5559,30,209.14,2417.18,OpenROAD,657.84,3,1,204.21198857010182
DGN_10063,Medium,71249,40,222.34,1538.07,Mentor,879.68,3,1,219.85730436297155
DGN_10064,High,42361,7,216.9,1625.56,Cadence,106.04,1,1,212.29750900397948
DGN_10065,Low,85720,5,162.36,1811.81,OpenROAD,702.41,1,0,159.22162612154702
DGN_10066,High,20261,21,222.33,1948.09,Cadence,198.71,0,0,243.92104068057228
DGN_10067,High,25372,11,67.43,1624.12,OpenROAD,419.34,1,0,42.7510056363494
DGN_10068,Low,60355,9,264.96,669.27,OpenROAD,814.25,1,1,296.3370455437265
DGN_10069,Medium,62920,23,244.45,2197.71,Cadence,239.45,1,1,255.4007991260992
DGN_10070,Medium,37544,43,111.31,1857.09,OpenROAD,412.08,4,1,101.19167078958807
DGN_10071,Low,5037,38,242.01,1880.49,OpenROAD,861.43,0,1,274.6864619233007
DGN_10072,Medium,48032,39,53.16,2491.74,Mentor,801.92,2,1,32.616992161258516
DGN_10073,Low,83233,20,104.31,2026.06,Cadence,163.79,6,0,81.08329806356002
DGN_10074,Low,46420,44,66.28,2089.96,Synopsys,718.09,3,1,66.89907445165579
DGN_10075,High,96552,43,245.06,2383.37,Synopsys,227.87,0,1,239.61405886975442
DGN_10076,Low,39600,31,238.97,462.72,OpenROAD,347.59,2,0,244.99056480417835
DGN_10077,High,53285,45,253.41,1294.55,Mentor,583.5,2,1,259.03691060545356
DGN_10078,Medium,67008,42,51.12,1493.36,OpenROAD,184.66,2,1,47.45669226833398
DGN_10079,High,94520,29,175.31,890.26,Mentor,1192.76,3,1,157.1847220971758
DGN_10080,Medium,10167,30,226.21,2114.57,OpenROAD,248.52,0,1,240.65755317816348
DGN_10081,Low,5432,18,88.85,1929.81,Synopsys,950.7,5,1,69.9429065477774
DGN_10082,Medium,74687,18,212.45,1830.12,Cadence,1006.02,5,1,221.447125214452
DGN_10083,Low,76947,18,71.03,2493.16,Mentor,1193.69,0,1,79.53585532214905
DGN_10084,Medium,55903,29,95.33,722.52,OpenROAD,548.66,2,1,85.84329070810539
DGN_10085,High,97159,40,168.95,1865.1,OpenROAD,1056.47,1,1,159.39418877324593
DGN_10086,Low,59149,8,213.39,1423.37,Mentor,1151.59,5,1,234.82683731438223
DGN_10087,Medium,92640,19,86.47,851.17,Mentor,257.1,5,1,108.23840358506733
DGN_10088,Medium,61768,36,96.31,485.41,Synopsys,606.56,3,1,90.83266428143828
DGN_10089,High,65184,22,101.11,2250.12,Mentor,128.41,4,1,116.83669545122754
DGN_10090,Medium,70792,18,109.68,1529.09,OpenROAD,767.63,1,0,121.30875887601456
DGN_10091,Low,38439,5,106.64,2079.84,Synopsys,722.8,0,0,127.04538038775883
DGN_10092,Medium,38257,46,148.79,1408.83,Synopsys,292.7,3,0,137.524862080763
DGN_10093,Low,49674,24,213.45,627.94,Cadence,969.61,4,1,246.0795941460148
DGN_10094,Medium,56248,14,159.51,910.12,Cadence,102.49,1,0,167.07475709727635
DGN_10095,High,88602,14,243.99,1015.69,Cadence,979.1,2,0,231.2625908008782
DGN_10096,Medium,50371,28,229.82,2435.04,Mentor,90.38,3,0,221.1094002705265
DGN_10097,High,72996,38,81.63,113.52,Synopsys,808.78,0,1,105.90369019555123
DGN_10098,Low,42297,32,62.21,2465.6,Mentor,149.8,1,0,76.50921639316996
DGN_10099,Medium,59273,31,269.49,2453.11,Synopsys,346.4,1,1,251.72345873979808
DGN_10100,High,66256,44,69.96,2490.76,OpenROAD,882.98,1,1,88.34555505070513
DGN_10101,Low,39743,5,87.08,1243.81,Mentor,379.66,3,1,99.97520547780235
DGN_10102,High,73752,37,55.53,2413.14,Synopsys,642.74,4,1,53.95021205273615
DGN_10103,Low,84803,8,207.08,1049.44,Cadence,1103.38,2,0,240.1734781025618
DGN_10104,Medium,80117,11,195.59,163.11,Cadence,116.58,1,1,195.81349104721357
DGN_10105,High,75051,13,296.73,638.43,OpenROAD,984.63,4,1,287.77410251453665
DGN_10106,Medium,27076,20,271.73,2368.71,Mentor,134.41,5,0,265.9305642662666
DGN_10107,Low,80312,9,152.71,133.04,Synopsys,204.55,2,1,143.56459461834845
DGN_10108,Medium,92483,38,142.9,1410.39,Cadence,196.02,1,1,179.16966523008153
DGN_10109,Medium,7963,27,124.21,281.44,Synopsys,1193.28,2,1,117.46604653264231
DGN_10110,High,77322,47,88.1,787.35,Mentor,265.41,1,0,92.22126639495714
DGN_10111,Medium,18866,29,84.52,311.42,Cadence,1082.31,1,1,69.48414426408047
DGN_10112,Medium,37305,17,83.07,2162.87,OpenROAD,1189.66,0,1,73.5391475830267
DGN_10113,Medium,67403,28,78.53,1518.57,OpenROAD,497.51,2,1,70.44041605523272
DGN_10114,Medium,87896,15,110.13,2265.06,Mentor,779.4,2,1,99.70928519695327
